SUBJNO,BLOCKNUM,BLOCKSIZE,NUMINBLOCK,DIFFIC,MATHACC,MATHTIME
19,Cal,15,1,4,0,4.0782
19,Cal,15,2,1,1,4.836
19,Cal,15,3,4,1,6.0049
19,Cal,15,4,1,1,3.4409
19,Cal,15,5,1,1,3.773
19,Cal,15,6,1,1,2.7055
19,Cal,15,7,3,1,3.6577
19,Cal,15,8,4,1,2.927
19,Cal,15,9,4,1,2.5768
19,Cal,15,10,1,1,3.9538
19,Cal,15,11,3,1,2.9097
19,Cal,15,12,2,1,2.3068
19,Cal,15,13,1,1,3.5306
19,Cal,15,14,4,1,2.9385
19,Cal,15,15,4,1,6.3157
19,Prac1,2,1,1,1,3.2035
19,Prac1,2,2,3,1,3.3987
19,Prac2,3,1,2,1,8.2469
19,Prac2,3,2,2,1,2.6077
19,Prac2,3,3,4,1,2.9893
19,1,6,1,1,1,1.6719
19,1,6,2,2,1,2.5798
19,1,6,3,1,1,2.9626
19,1,6,4,1,1,3.143
19,1,6,5,1,1,2.4695
19,1,6,6,3,1,3.3003
19,2,4,1,1,1,1.8953
19,2,4,2,1,0,2.5028
19,2,4,3,1,1,2.3269
19,2,4,4,2,1,2.5312
19,3,3,1,4,1,4.5434
19,3,3,2,1,1,2.805
19,3,3,3,4,1,3.6005
19,4,5,1,3,1,2.7929
19,4,5,2,1,1,1.4475
19,4,5,3,4,1,1.8048
19,4,5,4,4,1,3.6078
19,4,5,5,3,1,2.7079
19,5,7,1,3,1,4.6999
19,5,7,2,2,1,3.5887
19,5,7,3,1,1,2.2774
19,5,7,4,1,1,2.3892
19,5,7,5,2,1,4.0265
19,5,7,6,4,1,3.8776
19,5,7,7,1,0,2.187
19,6,5,1,1,1,3.9226
19,6,5,2,3,1,3.0907
19,6,5,3,3,1,4.9876
19,6,5,4,1,1,3.7523
19,6,5,5,3,1,3.8116
19,7,4,1,3,1,3.064
19,7,4,2,4,0,3.9585
19,7,4,3,2,1,4.1408
19,7,4,4,4,1,2.2492
19,8,3,1,2,1,1.8397
19,8,3,2,1,1,6.4875
19,8,3,3,3,1,3.8301
19,9,6,1,3,1,3.8816
19,9,6,2,1,0,0.0806
19,9,6,3,2,0,2.8639
19,9,6,4,4,1,5.1412
19,9,6,5,2,1,4.907
19,9,6,6,3,1,2.1815
19,10,7,1,3,1,5.2702
19,10,7,2,1,1,2.7085
19,10,7,3,1,1,2.8886
19,10,7,4,3,1,3.4112
19,10,7,5,2,1,2.8961
19,10,7,6,1,1,5.0816
19,10,7,7,3,1,2.002
19,11,6,1,3,1,2.5179
19,11,6,2,1,1,2.9248
19,11,6,3,1,1,1.639
19,11,6,4,1,1,2.3808
19,11,6,5,2,1,3.7351
19,11,6,6,1,1,3.4211
19,12,5,1,2,1,3.1323
19,12,5,2,1,1,1.8153
19,12,5,3,1,1,3.0766
19,12,5,4,4,1,4.6451
19,12,5,5,3,1,2.9167
19,13,3,1,2,1,1.6597
19,13,3,2,1,1,2.7688
19,13,3,3,1,1,2.0822
19,14,7,1,4,1,2.7101
19,14,7,2,3,1,2.6299
19,14,7,3,4,1,5.2546
19,14,7,4,3,1,4.0379
19,14,7,5,2,1,3.3781
19,14,7,6,1,1,1.7501
19,14,7,7,3,1,5.4773
19,15,4,1,1,1,1.9601
19,15,4,2,1,1,2.1781
19,15,4,3,4,1,3.3314
19,15,4,4,2,1,2.2945
