SUBJNO,BLOCKNUM,BLOCKSIZE,NUMINBLOCK,DIFFIC,MATHACC,MATHTIME
16,Cal,15,1,4,1,7.1436
16,Cal,15,2,1,0,0.0531
16,Cal,15,3,4,1,3.348
16,Cal,15,4,1,1,1.8752
16,Cal,15,5,1,1,2.989
16,Cal,15,6,1,1,1.4168
16,Cal,15,7,3,1,1.7363
16,Cal,15,8,4,1,1.7066
16,Cal,15,9,4,1,2.7186
16,Cal,15,10,1,1,1.4582
16,Cal,15,11,3,1,2.0261
16,Cal,15,12,2,1,1.4187
16,Cal,15,13,1,1,2.1752
16,Cal,15,14,4,1,1.4827
16,Cal,15,15,4,1,2.0136
16,Prac1,2,1,1,1,4.0857
16,Prac1,2,2,3,0,6.9591
16,Prac2,3,1,2,1,3.0909
16,Prac2,3,2,2,1,5.2703
16,Prac2,3,3,4,0,1.7466
16,1,6,1,1,1,1.3646
16,1,6,2,2,1,2.2256
16,1,6,3,1,0,2.2282
16,1,6,4,1,1,1.6536
16,1,6,5,1,0,2.448
16,1,6,6,3,0,3.7412
16,2,4,1,1,1,4.0885
16,2,4,2,1,1,5.0463
16,2,4,3,1,1,6.4368
16,2,4,4,2,1,2.4467
16,3,3,1,4,1,2.868
16,3,3,2,1,1,0.2507
16,3,3,3,4,1,2.8788
16,4,5,1,3,1,2.5209
16,4,5,2,1,1,1.5424
16,4,5,3,4,1,2.6398
16,4,5,4,4,1,5.1944
16,4,5,5,3,1,3.0114
16,5,7,1,3,1,3.1788
16,5,7,2,2,1,0.0921
16,5,7,3,1,1,1.5314
16,5,7,4,1,1,1.6862
16,5,7,5,2,0,2.9464
16,5,7,6,4,0,4.2097
16,5,7,7,1,1,2.4864
16,6,5,1,1,1,3.2794
16,6,5,2,3,1,2.2802
16,6,5,3,3,1,1.276
16,6,5,4,1,0,1.8539
16,6,5,5,3,1,1.6357
16,7,4,1,3,0,3.9414
16,7,4,2,4,1,2.4261
16,7,4,3,2,1,1.2788
16,7,4,4,4,1,1.0891
16,8,3,1,2,1,2.0678
16,8,3,2,1,0,1.6573
16,8,3,3,3,1,0.3485
16,9,6,1,3,0,2.716
16,9,6,2,1,0,0.2324
16,9,6,3,2,1,0.3282
16,9,6,4,4,1,0.158
16,9,6,5,2,0,0.1502
16,9,6,6,3,1,0.0807
16,10,7,1,3,1,5.7036
16,10,7,2,1,1,1.7486
16,10,7,3,1,1,2.6076
16,10,7,4,3,1,1.6121
16,10,7,5,2,1,1.5132
16,10,7,6,1,1,3.1499
16,10,7,7,3,1,1.8349
16,11,6,1,3,0,5.4727
16,11,6,2,1,1,2.6605
16,11,6,3,1,1,1.6047
16,11,6,4,1,1,2.06
16,11,6,5,2,1,2.3154
16,11,6,6,1,1,1.4578
16,12,5,1,2,1,2.9788
16,12,5,2,1,1,1.6367
16,12,5,3,1,1,1.9651
16,12,5,4,4,1,2.4279
16,12,5,5,3,1,3.261
16,13,3,1,2,1,4.299
16,13,3,2,1,1,2.7036
16,13,3,3,1,1,2.8259
16,14,7,1,4,1,3.1464
16,14,7,2,3,1,1.2725
16,14,7,3,4,1,1.3748
16,14,7,4,3,1,2.1827
16,14,7,5,2,0,6.0282
16,14,7,6,1,0,0.1797
16,14,7,7,3,0,0.0669
16,15,4,1,1,1,1.9544
16,15,4,2,1,0,0.3037
16,15,4,3,4,1,0.0972
16,15,4,4,2,0,0.0489
